,LMDirichlet_score,QO,query_id,rank,system_name
Carbon_diet.,-21.609421124479475,Q0,3,1,LM Dirichlet
Weather_stripping.,-25.403879468911605,Q0,3,2,LM Dirichlet
Caulking.,-26.015572961257234,Q0,3,3,LM Dirichlet
Carbon_accounting.,-26.457653838901876,Q0,3,4,LM Dirichlet
Enterprise_carbon_accounting.,-26.461445758511523,Q0,3,5,LM Dirichlet
Supply_chain.,-26.469951382671994,Q0,3,6,LM Dirichlet
NMR_spectroscopy.,-26.80288960327332,Q0,3,7,LM Dirichlet
Carbon_credit.,-26.87454403164851,Q0,3,8,LM Dirichlet
Carpooling.,-26.892187817762455,Q0,3,9,LM Dirichlet
Sustainable_packaging.,-27.076777244742132,Q0,3,10,LM Dirichlet
Telecommuting.,-27.14162334164964,Q0,3,11,LM Dirichlet
Input%E2%80%93output_model.,-27.209766906458796,Q0,3,12,LM Dirichlet
EU_Emissions_Trading_Scheme.,-27.401644535876038,Q0,3,13,LM Dirichlet
Education_for_Sustainable_Development.,-27.432921773074177,Q0,3,14,LM Dirichlet
Sustainability_accounting.,-27.475220738509826,Q0,3,15,LM Dirichlet
Greenhouse_gas_emissions_accounting.,-27.47778630328581,Q0,3,16,LM Dirichlet
Hydroelectricity.,-27.583045597845484,Q0,3,17,LM Dirichlet
Sustainable_architecture.,-27.730231308864717,Q0,3,18,LM Dirichlet
Dam.,-27.997241239257903,Q0,3,19,LM Dirichlet
Efficient_energy_use.,-28.09665224682653,Q0,3,20,LM Dirichlet
Urbanization.,-28.199238835601633,Q0,3,21,LM Dirichlet
bigram_Doc_TC.txt,-28.262424024657875,Q0,3,22,LM Dirichlet
trigram_Doc_TC.txt,-28.262424024657875,Q0,3,23,LM Dirichlet
Carbon_Footprint.,-28.362957035529767,Q0,3,24,LM Dirichlet
Sustainable_living.,-28.370445970714968,Q0,3,25,LM Dirichlet
Appropriate_technology.,-28.466897361310828,Q0,3,26,LM Dirichlet
Emissions_trading.,-28.502057971053958,Q0,3,27,LM Dirichlet
Paris_Agreement.,-28.504075712429284,Q0,3,28,LM Dirichlet
Urban_sprawl.,-28.573376095106653,Q0,3,29,LM Dirichlet
unigram_Doc_TC.txt,-28.68504221199229,Q0,3,30,LM Dirichlet
Sustainability.,-28.76896999304045,Q0,3,31,LM Dirichlet
Enzyme.,-29.006325572950473,Q0,3,32,LM Dirichlet
Carbon_footprint_unfocussed.csv,-29.035348346622975,Q0,3,33,LM Dirichlet
Carbon_Footprint.csv,-29.03774499160719,Q0,3,34,LM Dirichlet
Sea_level_rise.,-29.1185334503013,Q0,3,35,LM Dirichlet
Sustainable_development.,-29.23184315403924,Q0,3,36,LM Dirichlet
Kyoto_Protocol.,-29.232588388931095,Q0,3,37,LM Dirichlet
Fossil_fuel_phase-out.,-29.466309367087455,Q0,3,38,LM Dirichlet
Fossil-fuel_phase-out.,-29.467047063375723,Q0,3,39,LM Dirichlet
Ecosharing.,-29.471698735165827,Q0,3,40,LM Dirichlet
United_States_Marine_Corps.,-29.490346802487895,Q0,3,41,LM Dirichlet
Recommended_exposure_limit.,-29.49914451451989,Q0,3,42,LM Dirichlet
Climate_footprint.,-29.51807210058179,Q0,3,43,LM Dirichlet
CO2_(disambiguation).,-29.556630508774955,Q0,3,44,LM Dirichlet
Oxygen.,-29.598697325112802,Q0,3,45,LM Dirichlet
Green_conventions.,-29.715246573058792,Q0,3,46,LM Dirichlet
Earthcheck.,-29.719225542681563,Q0,3,47,LM Dirichlet
Gmelin_database.,-29.736189172793384,Q0,3,48,LM Dirichlet
Chief_green_officer.,-29.74853835600801,Q0,3,49,LM Dirichlet
Birth_control.,-29.790994089424785,Q0,3,50,LM Dirichlet
Population_biology.,-29.801005813279826,Q0,3,51,LM Dirichlet
Weighted_average_cost_of_carbon.,-29.818913950836148,Q0,3,52,LM Dirichlet
Verified_Emission_Reduction.,-29.83183806689233,Q0,3,53,LM Dirichlet
