,LMDirichlet_score,QO,query_id,rank,system_name
Emission_Reduction_Unit.,-29.856908404497883,Q0,3,54,LM Dirichlet
Carbonate_rock.,-29.86061554179653,Q0,3,55,LM Dirichlet
Carboxylate.,-29.880097070059723,Q0,3,56,LM Dirichlet
Greenhouse_debt.,-29.929265026878678,Q0,3,57,LM Dirichlet
Centrosymmetric.,-29.93691907372528,Q0,3,58,LM Dirichlet
Permissible_exposure_limit.,-29.93691907372528,Q0,3,59,LM Dirichlet
PlayStation_Portable.,-29.947940701804903,Q0,3,60,LM Dirichlet
Unique_Ingredient_Identifier.,-29.94809228714256,Q0,3,61,LM Dirichlet
Landfall.,-29.972755994689955,Q0,3,62,LM Dirichlet
Supercritical_drying.,-29.98074402328183,Q0,3,63,LM Dirichlet
Beilstein_database.,-30.010418158142766,Q0,3,64,LM Dirichlet
Deprotonation.,-30.012380866838065,Q0,3,65,LM Dirichlet
Ash_(analytical_chemistry).,-30.020212497011734,Q0,3,66,LM Dirichlet
Effervescence.,-30.031417008109074,Q0,3,67,LM Dirichlet
Wind_power.,-30.038324112187965,Q0,3,68,LM Dirichlet
Greenhouse_gas_inventory.,-30.056519920330857,Q0,3,69,LM Dirichlet
Certified_Emission_Reduction.,-30.060832848802285,Q0,3,70,LM Dirichlet
Certified_Emissions_Reduction.,-30.068477387492994,Q0,3,71,LM Dirichlet
Publicly_Available_Specification.,-30.08036378881794,Q0,3,72,LM Dirichlet
Ofrenda.,-30.148403901116666,Q0,3,73,LM Dirichlet
Environmental_Research_Letters.,-30.159825976707697,Q0,3,74,LM Dirichlet
Open_Carbon_World.,-30.170730138202625,Q0,3,75,LM Dirichlet
RTECS.,-30.17254173252939,Q0,3,76,LM Dirichlet
Poise_(unit).,-30.184727260465273,Q0,3,77,LM Dirichlet
UN_number.,-30.187425102600972,Q0,3,78,LM Dirichlet
Octopus_tehuelchus.,-30.19952055888666,Q0,3,79,LM Dirichlet
Standard_molar_entropy.,-30.19996713698386,Q0,3,80,LM Dirichlet
Market_price.,-30.230102872219284,Q0,3,81,LM Dirichlet
Runoff_footprint.,-30.239318467240956,Q0,3,82,LM Dirichlet
Meligalas.,-30.253714864880198,Q0,3,83,LM Dirichlet
Linear_(chemistry).,-30.282628951382154,Q0,3,84,LM Dirichlet
Light_commercial_vehicles.,-30.300543338590188,Q0,3,85,LM Dirichlet
Carbon_emission_label.,-30.300967921969345,Q0,3,86,LM Dirichlet
Limewater.,-30.33046698182147,Q0,3,87,LM Dirichlet
Sustainable_urban_drainage_systems.,-30.35375691021523,Q0,3,88,LM Dirichlet
ChEBI.,-30.357062013218997,Q0,3,89,LM Dirichlet
Oded_Muhammad_Danial.,-30.38819104630122,Q0,3,90,LM Dirichlet
Trace_gas.,-30.389003724085665,Q0,3,91,LM Dirichlet
Climate_change_mitigation.,-30.39980388551473,Q0,3,92,LM Dirichlet
Praeludium_(Waterhouse).,-30.404785293072756,Q0,3,93,LM Dirichlet
Hybrid-electric_vehicles.,-30.410909624264626,Q0,3,94,LM Dirichlet
4_Degrees_and_Beyond_International_Climate_Conference.,-30.428824044004323,Q0,3,95,LM Dirichlet
Global_warming_in_Luxembourg.,-30.44231883622265,Q0,3,96,LM Dirichlet
Sustainability_studies.,-30.471768666453194,Q0,3,97,LM Dirichlet
Aqueous_solution.,-30.485752021143632,Q0,3,98,LM Dirichlet
Picometer.,-30.493864055441932,Q0,3,99,LM Dirichlet
Lisbon_Principles.,-30.49502023622372,Q0,3,100,LM Dirichlet
