,LMDirichlet_score,QO,query_id,rank,system_name
Sustainability_studies.,-13.214126714364781,Q0,5,47,LM Dirichlet
Typhoon_Yutu.,-13.21952902241128,Q0,5,48,LM Dirichlet
CO2_(disambiguation).,-13.24893309384328,Q0,5,49,LM Dirichlet
Encyclopedia.,-13.256579027920413,Q0,5,50,LM Dirichlet
Yuri_Gidzenko.,-13.259305770621548,Q0,5,51,LM Dirichlet
International_Conference_on_Population_and_Development.,-13.26856851414923,Q0,5,52,LM Dirichlet
Sustainability_reporting.,-13.269402178402565,Q0,5,53,LM Dirichlet
Global_climate_regime.,-13.27030644963526,Q0,5,54,LM Dirichlet
Sustainable_market.,-13.27080565436726,Q0,5,55,LM Dirichlet
United_Nations_Framework_Convention_on_Climate_Change.,-13.306858889286737,Q0,5,56,LM Dirichlet
Telecommuting.,-13.312825865373298,Q0,5,57,LM Dirichlet
Sustainable_urban_infrastructure.,-13.324350376072879,Q0,5,58,LM Dirichlet
Climate_change_in_Sweden.,-13.326639920315113,Q0,5,59,LM Dirichlet
Land_footprint.,-13.326883893479842,Q0,5,60,LM Dirichlet
Carbonate_rock.,-13.334639775776996,Q0,5,61,LM Dirichlet
Sustainable_business.,-13.339400595162626,Q0,5,62,LM Dirichlet
Mathis_Wackernagel.,-13.33955416449611,Q0,5,63,LM Dirichlet
Drought_tolerance.,-13.340174237453489,Q0,5,64,LM Dirichlet
Sustainability_organizations.,-13.34135395123391,Q0,5,65,LM Dirichlet
Historical_climatology.,-13.34190424936321,Q0,5,66,LM Dirichlet
Sustainability_practices_in_organizations.,-13.34211675673899,Q0,5,67,LM Dirichlet
Sustainable_materials_management.,-13.343973849786366,Q0,5,68,LM Dirichlet
Energy_poverty.,-13.348423434132714,Q0,5,69,LM Dirichlet
Climate_change_and_agriculture.,-13.352028509161684,Q0,5,70,LM Dirichlet
Climate_change_in_Japan.,-13.352557287324807,Q0,5,71,LM Dirichlet
Avoiding_Dangerous_Climate_Change_(2005_conference).,-13.355725296464573,Q0,5,72,LM Dirichlet
Certified_Emission_Reduction.,-13.35579219286287,Q0,5,73,LM Dirichlet
Environmental_impact_of_agriculture.,-13.357213179672943,Q0,5,74,LM Dirichlet
Phase_diagram.,-13.359365959673035,Q0,5,75,LM Dirichlet
Avoiding_dangerous_climate_change.,-13.359926978682198,Q0,5,76,LM Dirichlet
Supercritical_drying.,-13.361233126299876,Q0,5,77,LM Dirichlet
Certified_Emissions_Reduction.,-13.363436731553577,Q0,5,78,LM Dirichlet
Agenda_21.,-13.365953230405307,Q0,5,79,LM Dirichlet
Population_Connection.,-13.367135001606863,Q0,5,80,LM Dirichlet
Cheam_Channy.,-13.369337074540015,Q0,5,81,LM Dirichlet
Population_biology.,-13.378225328939008,Q0,5,82,LM Dirichlet
ChemSpider.,-13.381219461004793,Q0,5,83,LM Dirichlet
Rainwater_tank.,-13.38510832845144,Q0,5,84,LM Dirichlet
Carbon_intensity.,-13.390808579307777,Q0,5,85,LM Dirichlet
Deprotonation.,-13.392869969856111,Q0,5,86,LM Dirichlet
Weighted_average_cost_of_carbon.,-13.396133466495328,Q0,5,87,LM Dirichlet
UN_number.,-13.40359713265537,Q0,5,88,LM Dirichlet
European_Climate_Change_Programme.,-13.408432191290501,Q0,5,89,LM Dirichlet
Verified_Emission_Reduction.,-13.409057582551512,Q0,5,90,LM Dirichlet
Earthcheck.,-13.411528127749893,Q0,5,91,LM Dirichlet
Planetary_management.,-13.420173844629542,Q0,5,92,LM Dirichlet
Wikipedia.,-13.425619752879754,Q0,5,93,LM Dirichlet
Thomas_Eichelbaum.,-13.427868886402287,Q0,5,94,LM Dirichlet
Ethical_consumerism.,-13.432584007472444,Q0,5,95,LM Dirichlet
Joint_Implementation.,-13.437110137639536,Q0,5,96,LM Dirichlet
United_Kingdom_Climate_Change_Programme.,-13.4382676363949,Q0,5,97,LM Dirichlet
Brundtland_Commission.,-13.439194057516625,Q0,5,98,LM Dirichlet
Chief_green_officer.,-13.440840941076337,Q0,5,99,LM Dirichlet
Ofrenda.,-13.443363245177252,Q0,5,100,LM Dirichlet
