,LMDirichlet_score,QO,query_id,rank,system_name
Sustainability_accounting.,-11.896190565461819,Q0,5,1,LM Dirichlet
CiteSeerX.,-12.088318880437207,Q0,5,2,LM Dirichlet
Reducing_emissions_from_deforestation_and_forest_degradation.,-12.094810961302787,Q0,5,3,LM Dirichlet
ECHA_InfoCard.,-12.371041026462393,Q0,5,4,LM Dirichlet
Beilstein_database.,-12.37379578397264,Q0,5,5,LM Dirichlet
Sustainability_advertising.,-12.40355088341462,Q0,5,6,LM Dirichlet
Sustainability_metrics_and_indices.,-12.453952876357375,Q0,5,7,LM Dirichlet
Publicly_Available_Specification.,-12.532077651910173,Q0,5,8,LM Dirichlet
Lisbon_Principles.,-12.604725576733129,Q0,5,9,LM Dirichlet
International_Chemical_Identifier.,-12.612798506755414,Q0,5,10,LM Dirichlet
Safety_data_sheet.,-12.623243962027638,Q0,5,11,LM Dirichlet
Parliamentary_Office_of_Science_and_Technology.,-12.69813324701386,Q0,5,12,LM Dirichlet
Open_Carbon_World.,-12.707973760252322,Q0,5,13,LM Dirichlet
Population_and_housing_censuses_by_country.,-12.80961954901234,Q0,5,14,LM Dirichlet
Individual_and_political_action_on_climate_change.,-12.815628139048512,Q0,5,15,LM Dirichlet
National_Climate_Assessment.,-12.845012098306675,Q0,5,16,LM Dirichlet
Wayback_Machine.,-12.861763933558079,Q0,5,17,LM Dirichlet
Earth_Summit.,-12.871450422554226,Q0,5,18,LM Dirichlet
Supply_chain.,-12.881624923449646,Q0,5,19,LM Dirichlet
Unique_Ingredient_Identifier.,-12.892659095399562,Q0,5,20,LM Dirichlet
Flexible_Mechanisms.,-12.905619679768444,Q0,5,21,LM Dirichlet
Nova_Science_Publishers.,-12.919264391111295,Q0,5,22,LM Dirichlet
Ecosharing.,-12.945722969146292,Q0,5,23,LM Dirichlet
Education_for_Sustainable_Development.,-12.947372966386936,Q0,5,24,LM Dirichlet
World_Population_Foundation.,-12.994736520567379,Q0,5,25,LM Dirichlet
Regional_climate_change_initiatives_in_the_United_States.,-13.015999897716156,Q0,5,26,LM Dirichlet
NMR_spectroscopy.,-13.023931381893163,Q0,5,27,LM Dirichlet
Bali_Road_Map.,-13.06603271362521,Q0,5,28,LM Dirichlet
Population_Action_International.,-13.06927657496944,Q0,5,29,LM Dirichlet
Emission_Reduction_Unit.,-13.073080434552283,Q0,5,30,LM Dirichlet
Carbon_emission_label.,-13.078564516933547,Q0,5,31,LM Dirichlet
Environmental_impact_of_biodiesel.,-13.096915854204553,Q0,5,32,LM Dirichlet
Our_Common_Future.,-13.101760728803463,Q0,5,33,LM Dirichlet
RTECS.,-13.101956306134218,Q0,5,34,LM Dirichlet
KEGG.,-13.1379390506564,Q0,5,35,LM Dirichlet
Rio_Declaration_on_Environment_and_Development.,-13.181886924436084,Q0,5,36,LM Dirichlet
Landfall.,-13.188928024744353,Q0,5,37,LM Dirichlet
Green_conventions.,-13.189270807039257,Q0,5,38,LM Dirichlet
Recommended_exposure_limit.,-13.191447099588217,Q0,5,39,LM Dirichlet
Earth_Summit_2002.,-13.19262560503143,Q0,5,40,LM Dirichlet
Greenhouse_gas_inventory.,-13.19966128575081,Q0,5,41,LM Dirichlet
Temperature_record_of_the_past_1000_years.,-13.204548053562327,Q0,5,42,LM Dirichlet
United_Nations_Conference_on_the_Human_Environment.,-13.207925949679634,Q0,5,43,LM Dirichlet
Sergei_Krikalev.,-13.20949932100539,Q0,5,44,LM Dirichlet
Gmelin_database.,-13.21021340677385,Q0,5,45,LM Dirichlet
Climate_footprint.,-13.210374685650118,Q0,5,46,LM Dirichlet
