,LMDirichlet_score,QO,query_id,rank,system_name
Deforestation_and_climate_change.,-14.658363157764272,Q0,2,1,LM Dirichlet
Carbon.,-15.015627544719084,Q0,2,2,LM Dirichlet
Carbon_Footprint.,-15.10392955797731,Q0,2,3,LM Dirichlet
GHG_footprint.,-15.122458995602834,Q0,2,4,LM Dirichlet
Carbon_offset.,-15.241451820465326,Q0,2,5,LM Dirichlet
Black_carbon.,-15.243246345302392,Q0,2,6,LM Dirichlet
Dry_ice.,-15.897629497854119,Q0,2,7,LM Dirichlet
United_Kingdom_Climate_Change_Programme.,-15.909303072115568,Q0,2,8,LM Dirichlet
Climate_change_mitigation.,-16.02124675242366,Q0,2,9,LM Dirichlet
Climate_change_in_Canada.,-16.110400803033443,Q0,2,10,LM Dirichlet
History_of_climate_change_science.,-16.26313493945458,Q0,2,11,LM Dirichlet
Peat.,-16.69643342129489,Q0,2,12,LM Dirichlet
Emissions_trading.,-16.81788218380853,Q0,2,13,LM Dirichlet
Climate_change_in_Australia.,-16.823952086227052,Q0,2,14,LM Dirichlet
Reforestation.,-16.848741379183036,Q0,2,15,LM Dirichlet
Paris_Agreement.,-16.996287681946505,Q0,2,16,LM Dirichlet
Deforestation.,-17.189224199383318,Q0,2,17,LM Dirichlet
Climate_change_in_the_United_States.,-17.205658113198638,Q0,2,18,LM Dirichlet
Sustainable_packaging.,-17.387380907391236,Q0,2,19,LM Dirichlet
Energy_poverty.,-17.658442384467854,Q0,2,20,LM Dirichlet
Effects_of_global_warming_on_Australia.,-17.690714140580166,Q0,2,21,LM Dirichlet
Biofuel.,-17.72504023623167,Q0,2,22,LM Dirichlet
Abrupt_climate_change.,-17.76259927112976,Q0,2,23,LM Dirichlet
Oxygen.,-18.154804564404294,Q0,2,24,LM Dirichlet
Kyoto_Protocol.,-18.179888331614546,Q0,2,25,LM Dirichlet
Carbonated_beverage.,-18.290013468232452,Q0,2,26,LM Dirichlet
Telecommuting.,-18.320704144262145,Q0,2,27,LM Dirichlet
Weighted_average_cost_of_carbon.,-18.39045399446597,Q0,2,28,LM Dirichlet
Supply_chain.,-18.468187970710993,Q0,2,29,LM Dirichlet
Energy_conservation.,-18.511810403036208,Q0,2,30,LM Dirichlet
Simple_living.,-18.569698162361668,Q0,2,31,LM Dirichlet
Carbon_diet.,-18.614797087882224,Q0,2,32,LM Dirichlet
Climate_change_adaptation.,-18.633706466758944,Q0,2,33,LM Dirichlet
Effects_of_global_warming.,-18.81046623998411,Q0,2,34,LM Dirichlet
Sustainable_architecture.,-18.824699569312273,Q0,2,35,LM Dirichlet
Carbon_emission_label.,-18.87250796559917,Q0,2,36,LM Dirichlet
Beer.,-18.901937956516324,Q0,2,37,LM Dirichlet
Wind_power.,-18.924155872070624,Q0,2,38,LM Dirichlet
Open_Carbon_World.,-19.246302248398464,Q0,2,39,LM Dirichlet
Enterprise_carbon_accounting.,-19.283658483997883,Q0,2,40,LM Dirichlet
Infrared_spectroscopy.,-19.285003659952103,Q0,2,41,LM Dirichlet
IR_spectrum.,-19.28719647088522,Q0,2,42,LM Dirichlet
Carbon_accounting.,-19.33440453631806,Q0,2,43,LM Dirichlet
Carbon_lock-in.,-19.349455757139488,Q0,2,44,LM Dirichlet
Carbon_credit.,-19.364788744562055,Q0,2,45,LM Dirichlet
Carbon_cycle.,-19.41195365095569,Q0,2,46,LM Dirichlet
Climate_footprint.,-19.418624526709372,Q0,2,47,LM Dirichlet
Chicago_Climate_Exchange.,-19.5241121243032,Q0,2,48,LM Dirichlet
Carbon_neutrality.,-19.542575446870092,Q0,2,49,LM Dirichlet
Carbon_neutral.,-19.544451871079577,Q0,2,50,LM Dirichlet
Industrial_Revolution.,-19.58247770314045,Q0,2,51,LM Dirichlet
Off-roading.,-19.66546453641054,Q0,2,52,LM Dirichlet
Supercritical_drying.,-19.687672911149473,Q0,2,53,LM Dirichlet
Wine.,-19.75321525344496,Q0,2,54,LM Dirichlet
Carbon_sink.,-19.79002631763953,Q0,2,55,LM Dirichlet
Carbon_dioxide_sink.,-19.791569899791305,Q0,2,56,LM Dirichlet
Charles_David_Keeling.,-19.87110765387437,Q0,2,57,LM Dirichlet
Carbon_literacy.,-19.97259150125818,Q0,2,58,LM Dirichlet
Verified_Emission_Reduction.,-19.97273018938673,Q0,2,59,LM Dirichlet
Emission_Reduction_Unit.,-19.997800526992282,Q0,2,60,LM Dirichlet
Carbon_monoxide_dehydrogenase.,-20.01142360804551,Q0,2,61,LM Dirichlet
Bond_length.,-20.077236288669482,Q0,2,62,LM Dirichlet
trigram_Doc_TC.txt,-20.090949072542166,Q0,2,63,LM Dirichlet
bigram_Doc_TC.txt,-20.090949072542166,Q0,2,64,LM Dirichlet
Invasive_species.,-20.148573537572226,Q0,2,65,LM Dirichlet
Effervescence.,-20.172309130603473,Q0,2,66,LM Dirichlet
Linear_(chemistry).,-20.18318137750974,Q0,2,67,LM Dirichlet
Greenhouse_gas_inventory.,-20.197412042825256,Q0,2,68,LM Dirichlet
Flexible_Mechanisms.,-20.20937464725627,Q0,2,69,LM Dirichlet
Atmospheric_carbon_dioxide.,-20.223105582180914,Q0,2,70,LM Dirichlet
Battle_of_Meligalas.,-20.22548100893816,Q0,2,71,LM Dirichlet
