,LMDirichlet_score,QO,query_id,rank,system_name
Carbon_dioxide_in_Earth%27s_atmosphere.,-20.23876617256078,Q0,2,72,LM Dirichlet
Individual_action_on_climate_change.,-20.2436165488902,Q0,2,73,LM Dirichlet
Carbon_dioxide_removal.,-20.245191376643973,Q0,2,74,LM Dirichlet
Adrien-Jean-Pierre_Thilorier.,-20.318732343609838,Q0,2,75,LM Dirichlet
Food_miles.,-20.36404862203267,Q0,2,76,LM Dirichlet
Ecosharing.,-20.39645545545868,Q0,2,77,LM Dirichlet
Carbon_trioxide.,-20.39932953676141,Q0,2,78,LM Dirichlet
Climate_change_in_China.,-20.412616275600524,Q0,2,79,LM Dirichlet
Carbon_diselenide.,-20.419810372946852,Q0,2,80,LM Dirichlet
Carbon_suboxide.,-20.42835080135919,Q0,2,81,LM Dirichlet
Sustainable_advertising.,-20.42932189086362,Q0,2,82,LM Dirichlet
Carbon_intensity.,-20.44265668114557,Q0,2,83,LM Dirichlet
Carbon_dioxide_equivalent.,-20.456444384139918,Q0,2,84,LM Dirichlet
CO2_(disambiguation).,-20.481387229067806,Q0,2,85,LM Dirichlet
unigram_Doc_TC.txt,-20.51356725987658,Q0,2,86,LM Dirichlet
Certified_Emission_Reduction.,-20.51874119691383,Q0,2,87,LM Dirichlet
Low-carbon_economy.,-20.522505427063525,Q0,2,88,LM Dirichlet
Certified_Emissions_Reduction.,-20.52638573560454,Q0,2,89,LM Dirichlet
Silicon_dioxide.,-20.53302681209535,Q0,2,90,LM Dirichlet
Alkyl.,-20.568467091053712,Q0,2,91,LM Dirichlet
Carbonate.,-20.580181851133272,Q0,2,92,LM Dirichlet
Metal_carbon_dioxide_complex.,-20.591164512685964,Q0,2,93,LM Dirichlet
Low_carbon_diet.,-20.59733479465452,Q0,2,94,LM Dirichlet
Land_footprint.,-20.617435783765867,Q0,2,95,LM Dirichlet
Human_population_planning.,-20.654458798173863,Q0,2,96,LM Dirichlet
Human_population_control.,-20.65572272111663,Q0,2,97,LM Dirichlet
Carbon_tax.,-20.66737907029804,Q0,2,98,LM Dirichlet
Chief_green_officer.,-20.67329507630086,Q0,2,99,LM Dirichlet
Double_bond.,-20.683447462516945,Q0,2,100,LM Dirichlet
